PtNumber,easting_LV03,northing_LV03,date,y_obs,y_vgl,y_act
15045890,632093.786,115232.26,2015-07-01,19.983,22.4088985320761,
15045890,632093.786,115232.26,2015-07-13,21.315,21.7650380741142,
15045890,632093.786,115232.26,2015-07-25,19.017,21.1211776161523,
15045890,632093.786,115232.26,2015-08-06,17.598,20.4773171581903,
15045890,632093.786,115232.26,2015-08-17,20.198,19.8334567002284,
15045890,632093.786,115232.26,2015-08-30,18.302,19.1895962422665,
15045890,632093.786,115232.26,2015-09-11,18.754,18.5457357843046,
15045890,632093.786,115232.26,2015-09-23,17.351,17.9018753263426,
15045890,632093.786,115232.26,2015-10-05,18.495,17.2580148683807,
15045890,632093.786,115232.26,2015-11-10,15.548,15.3264334944949,
15045890,632093.786,115232.26,2016-07-07,4.522,2.44922433525643,
15045890,632093.786,115232.26,2016-07-19,2.603,1.8053638772945,
15045890,632093.786,115232.26,2016-08-12,2.595,0.517642961370655,
15045890,632093.786,115232.26,2016-08-24,2.382,-0.126217496591273,
15045890,632093.786,115232.26,2016-09-05,1.454,-0.770077954553194,
15045890,632093.786,115232.26,2016-09-17,-1.664,-1.41393841251512,
15045890,632093.786,115232.26,2016-09-29,-1.444,-2.05779887047704,
15045890,632093.786,115232.26,2016-10-11,-1.835,-2.70165932843897,
15045890,632093.786,115232.26,2016-10-23,-2.224,-3.3455197864009,
15045890,632093.786,115232.26,2016-11-04,-2.148,-3.98938024436282,
15045890,632093.786,115232.26,2017-06-14,-14.485,-15.9007987166584,-13.4422908367568
15045890,632093.786,115232.26,2017-06-20,-14.823,-16.2227289456394,-13.9143127259512
15045890,632093.786,115232.26,2017-06-26,-16.362,-16.5446591746204,-14.3863346151456
15045890,632093.786,115232.26,2017-07-02,-16.007,-16.8665894036013,-14.85835650434
15045890,632093.786,115232.26,2017-07-14,-18.388,-17.5104498615633,-15.8024002827288
15045890,632093.786,115232.26,2017-07-20,-18.604,-17.8323800905442,-16.2744221719231
15045890,632093.786,115232.26,2017-07-26,-18.845,-18.1543103195252,-16.7464440611175
15045890,632093.786,115232.26,2017-07-31,-16.407,-18.4762405485061,-17.2184659503119
15045890,632093.786,115232.26,2017-08-07,-17.673,-18.7981707774871,-17.6904878395063
15045890,632093.786,115232.26,2017-08-13,-18.93,-19.1201010064681,-18.1625097287007
15045890,632093.786,115232.26,2017-08-18,-19.104,-19.442031235449,-18.6345316178951
15045890,632093.786,115232.26,2017-08-25,-19.806,-19.76396146443,-19.1065535070895
15045890,632093.786,115232.26,2017-08-31,-20.249,-20.0858916934109,-19.5785753962839
15045890,632093.786,115232.26,2017-09-05,-21.864,-20.4078219223919,-20.0505972854783
15045890,632093.786,115232.26,2017-09-18,-20.918,-21.0516823803538,-20.9946410638671
15045890,632093.786,115232.26,2017-09-24,-24.326,-21.3736126093348,-21.4666629530615
15045890,632093.786,115232.26,2017-09-30,-22.491,-21.6955428383158,-21.9386848422559
15045890,632093.786,115232.26,2017-10-06,-24.399,-22.0174730672967,-22.4107067314503
15045890,632093.786,115232.26,2017-10-12,-24.496,-22.3394032962777,-22.8827286206446
